customer_name,customer_email,country,gender,age,annual_salary,credit_card_debt,net_worth,car_purchase_amount
Customer 0,customer0@email.com,Nigeria,0,30.0,74219.2,10200.21,570821.97,26241.57
Customer 1,customer1@email.com,Germany,1,22.0,68885.27,4126.62,435273.76,24791.26
Customer 2,customer2@email.com,France,0,35.0,52780.68,8421.5,646673.45,22214.05
Customer 3,customer3@email.com,United Kingdom,0,50.0,83186.6,2663.9,381274.09,25223.6
Customer 4,customer4@email.com,United Kingdom,0,43.0,38378.73,5594.53,717824.32,31026.77
Customer 5,customer5@email.com,Kenya,1,25.0,72318.71,9279.13,163505.08,14100.47
Customer 6,customer6@email.com,United Kingdom,0,42.0,71862.03,1628.03,531594.89,27417.52
Customer 7,customer7@email.com,Germany,0,45.0,53809.07,9761.9,984732.25,29803.87
Customer 8,customer8@email.com,Canada,0,29.0,66522.66,7921.45,249917.17,21262.26
Customer 9,customer9@email.com,United Kingdom,1,42.0,34977.73,10209.96,330563.76,16494.38
Customer 10,customer10@email.com,Nigeria,0,41.0,78480.54,8895.66,628476.96,27327.59
Customer 11,customer11@email.com,Canada,0,26.0,56301.96,13456.56,544895.45,24661.16
Customer 12,customer12@email.com,United Kingdom,0,44.0,49545.54,8500.9,587657.52,28947.94
Customer 13,customer13@email.com,Nigeria,0,47.0,80980.18,6282.38,622296.78,27992.01
Customer 14,customer14@email.com,Nigeria,1,53.0,45913.13,8489.19,658680.37,24770.93
Customer 15,customer15@email.com,India,0,53.0,31830.77,10173.19,777424.96,18825.98
Customer 16,customer16@email.com,United States,1,23.0,28867.42,8195.44,602454.66,17290.35
Customer 17,customer17@email.com,Kenya,1,29.0,72120.2,8162.37,439685.59,26012.72
Customer 18,customer18@email.com,Germany,1,46.0,34391.41,5192.03,668143.43,27254.73
Customer 19,customer19@email.com,South Africa,0,46.0,95095.88,5348.4,974970.48,39095.79
Customer 20,customer20@email.com,France,1,46.0,18361.41,2389.58,466841.56,15712.91
Customer 21,customer21@email.com,United Kingdom,0,70.0,93929.13,14998.31,256367.67,17714.77
Customer 22,customer22@email.com,United Kingdom,1,47.0,64220.35,3024.55,776770.17,25714.78
Customer 23,customer23@email.com,Canada,1,54.0,58065.74,5228.38,469904.71,22598.66
Customer 24,customer24@email.com,Canada,1,51.0,49101.62,5126.37,10000.0,13499.61
Customer 25,customer25@email.com,France,1,48.0,67982.72,11579.7,711855.42,26320.28
Customer 26,customer26@email.com,United Kingdom,1,36.0,59247.31,6820.2,366167.95,20918.31
Customer 27,customer27@email.com,Australia,1,49.0,82066.04,12990.97,477366.68,25555.78
Customer 28,customer28@email.com,Germany,1,31.0,62284.55,5306.04,582995.08,25361.82
Customer 29,customer29@email.com,United Kingdom,1,37.0,63006.04,9115.98,547624.92,25893.41
Customer 30,customer30@email.com,United States,0,34.0,52727.76,4658.61,677362.95,34089.73
Customer 31,customer31@email.com,France,0,41.0,58861.09,16580.6,391128.41,20052.59
Customer 32,customer32@email.com,Australia,1,68.0,66156.04,3249.61,628276.45,21488.95
Customer 33,customer33@email.com,Germany,1,18.0,25796.63,9239.28,435113.33,13305.21
Customer 34,customer34@email.com,United Kingdom,1,48.0,33036.29,10535.11,684702.62,24228.56
Customer 35,customer35@email.com,South Africa,0,21.0,74865.28,9655.2,653841.87,26997.44
Customer 36,customer36@email.com,India,1,34.0,63417.31,7258.85,266140.32,18961.4
Customer 37,customer37@email.com,United States,0,53.0,56320.33,7480.72,771495.53,30493.8
Customer 38,customer38@email.com,South Africa,0,41.0,60368.68,8175.25,366009.14,25616.77
Customer 39,customer39@email.com,Canada,0,27.0,66951.63,7411.99,702014.45,26940.56
Customer 40,customer40@email.com,Canada,0,31.0,49204.81,11855.52,591821.83,18631.99
Customer 41,customer41@email.com,United Kingdom,0,48.0,44433.91,16842.09,959545.92,31594.34
Customer 42,customer42@email.com,Canada,1,31.0,63916.91,5770.03,444133.5,22039.31
Customer 43,customer43@email.com,United States,1,43.0,40432.54,2520.79,412670.8,21838.09
Customer 44,customer44@email.com,Germany,1,41.0,68165.06,7646.87,495145.1,19252.66
Customer 45,customer45@email.com,Nigeria,1,32.0,25948.33,18318.84,424205.05,19622.26
Customer 46,customer46@email.com,Kenya,1,66.0,80583.11,4785.3,699985.48,22775.13
Customer 47,customer47@email.com,France,0,48.0,69451.95,14556.47,95922.35,17472.88
Customer 48,customer48@email.com,Germany,1,18.0,65120.59,14710.8,236579.4,16671.42
Customer 49,customer49@email.com,Nigeria,1,42.0,79653.82,5785.65,233049.27,18768.68
Customer 50,customer50@email.com,Australia,0,32.0,93309.49,10275.93,737576.9,32899.26
Customer 51,customer51@email.com,United States,1,50.0,80287.4,14513.59,927653.34,35203.77
Customer 52,customer52@email.com,South Africa,0,30.0,23182.52,6483.49,473887.7,18624.47
Customer 53,customer53@email.com,Nigeria,1,39.0,34408.46,7185.68,457794.57,21551.83
Customer 54,customer54@email.com,United States,0,46.0,47503.63,5673.28,517513.04,27637.8
Customer 55,customer55@email.com,India,1,50.0,60521.82,3940.97,790469.58,23800.84
Customer 56,customer56@email.com,South Africa,1,26.0,70353.18,5402.89,268161.72,25427.56
Customer 57,customer57@email.com,Canada,0,36.0,45485.12,3104.24,559592.25,24817.26
Customer 58,customer58@email.com,Canada,0,34.0,63735.34,8136.33,743799.41,27726.3
Customer 59,customer59@email.com,South Africa,0,32.0,44892.34,4920.11,625273.54,21156.37
Customer 60,customer60@email.com,Australia,0,61.0,47769.64,8935.14,547395.4,18452.48
Customer 61,customer61@email.com,Australia,0,45.0,31866.78,1776.42,750261.52,27372.56
Customer 62,customer62@email.com,Australia,0,25.0,41535.34,9323.52,10000.0,10115.3
Customer 63,customer63@email.com,Nigeria,0,51.0,32966.31,11334.12,669468.83,25534.38
Customer 64,customer64@email.com,France,0,65.0,40482.53,25.06,336481.08,9445.97
Customer 65,customer65@email.com,Nigeria,1,52.0,81072.84,9496.23,42341.78,15621.87
Customer 66,customer66@email.com,United Kingdom,1,22.0,41012.02,12910.68,627800.65,18059.57
Customer 67,customer67@email.com,Kenya,0,34.0,112647.64,3161.44,843414.64,41340.19
Customer 68,customer68@email.com,South Africa,1,55.0,69866.36,14690.29,465637.87,23984.34
Customer 69,customer69@email.com,Germany,1,32.0,63696.72,9676.08,738218.64,28488.99
Customer 70,customer70@email.com,Kenya,1,45.0,42832.84,5179.95,903069.56,21155.68
Customer 71,customer71@email.com,India,1,49.0,74006.2,7776.92,828728.61,31694.65
Customer 72,customer72@email.com,Nigeria,0,29.0,48487.24,10233.31,909991.13,31559.79
Customer 73,customer73@email.com,Nigeria,1,39.0,62440.2,8304.02,685531.87,29659.15
Customer 74,customer74@email.com,United States,0,18.0,111201.69,10155.02,518858.41,33349.27
Customer 75,customer75@email.com,Kenya,1,28.0,58078.8,4317.31,99508.55,12657.1
Customer 76,customer76@email.com,United States,1,37.0,82985.47,8677.44,438484.38,28990.41
Customer 77,customer77@email.com,Germany,1,25.0,45936.47,2345.14,289188.35,21017.25
Customer 78,customer78@email.com,United States,0,60.0,59300.23,7555.1,1042735.68,25658.48
Customer 79,customer79@email.com,Kenya,1,23.0,95416.01,4384.37,456028.55,28553.49
Customer 80,customer80@email.com,South Africa,0,35.0,47460.66,5057.88,530801.2,22716.8
Customer 81,customer81@email.com,India,1,42.0,96248.97,12944.37,637871.34,31255.77
Customer 82,customer82@email.com,Nigeria,0,57.0,74155.04,12365.24,510900.61,23747.77
Customer 83,customer83@email.com,Germany,1,23.0,48750.66,10436.55,923762.76,27882.51
Customer 84,customer84@email.com,Nigeria,0,54.0,72648.15,3630.75,344337.66,18593.78
Customer 85,customer85@email.com,United Kingdom,0,40.0,79451.09,6734.37,548651.86,28319.72
Customer 86,customer86@email.com,India,1,28.0,72436.2,12852.39,314382.35,18206.1
Customer 87,customer87@email.com,France,0,46.0,28595.51,8566.87,169994.37,8375.05
Customer 88,customer88@email.com,United States,1,42.0,45457.26,17277.32,347057.73,19670.13
Customer 89,customer89@email.com,Canada,1,33.0,55049.63,9573.27,490740.8,20268.55
Customer 90,customer90@email.com,Kenya,1,41.0,58511.33,8768.2,392674.44,23552.31
Customer 91,customer91@email.com,Nigeria,1,35.0,72413.44,6763.53,326894.76,25111.33
Customer 92,customer92@email.com,United States,1,41.0,63554.02,8534.16,148420.63,12270.68
Customer 93,customer93@email.com,Germany,1,48.0,33293.11,7390.12,479223.61,16206.73
Customer 94,customer94@email.com,Nigeria,1,59.0,67603.96,10832.43,123819.91,17316.08
Customer 95,customer95@email.com,France,1,25.0,72211.71,11826.81,690013.99,25505.86
Customer 96,customer96@email.com,India,1,66.0,71195.81,4856.04,520609.94,20012.75
Customer 97,customer97@email.com,India,1,18.0,81615.61,2675.07,135612.13,19673.26
Customer 98,customer98@email.com,Nigeria,1,38.0,76678.44,655.18,422697.73,28640.37
Customer 99,customer99@email.com,Germany,0,47.0,69183.6,10031.97,311960.9,19458.94
Customer 100,customer100@email.com,India,0,43.0,58596.69,3586.53,579793.63,23634.19
Customer 101,customer101@email.com,India,1,33.0,26780.78,0.0,835112.61,31586.48
Customer 102,customer102@email.com,France,1,38.0,68592.36,9554.31,31206.88,21574.26
Customer 103,customer103@email.com,Kenya,1,34.0,64153.75,17972.0,528756.52,28137.57
Customer 104,customer104@email.com,Germany,1,33.0,65431.58,7975.72,459966.8,25072.46
Customer 105,customer105@email.com,Germany,1,50.0,34465.03,11353.96,667835.02,18966.26
Customer 106,customer106@email.com,South Africa,1,44.0,38378.87,8327.32,553299.16,18698.75
Customer 107,customer107@email.com,South Africa,1,32.0,81063.06,7604.44,312007.67,25606.71
Customer 108,customer108@email.com,India,1,51.0,59208.9,11676.31,420236.52,21173.63
Customer 109,customer109@email.com,Canada,0,44.0,73630.01,6838.9,300993.54,25785.28
Customer 110,customer110@email.com,South Africa,1,50.0,60566.37,9069.57,769001.78,29509.38
Customer 111,customer111@email.com,India,0,48.0,60595.12,9286.79,505327.91,18157.91
Customer 112,customer112@email.com,Australia,1,30.0,78765.68,5327.64,975297.67,39943.88
Customer 113,customer113@email.com,United Kingdom,1,33.0,49679.11,11968.17,484834.8,19557.56
Customer 114,customer114@email.com,United Kingdom,0,49.0,61922.42,7300.16,322898.31,18064.4
Customer 115,customer115@email.com,Germany,1,47.0,50754.49,4977.02,121571.4,14897.5
Customer 116,customer116@email.com,Canada,0,40.0,51310.08,10146.04,49215.08,19653.21
Customer 117,customer117@email.com,France,1,41.0,53816.56,4406.13,103966.01,24840.95
Customer 118,customer118@email.com,Kenya,1,55.0,64442.68,8112.72,566781.66,25010.93
Customer 119,customer119@email.com,South Africa,0,33.0,50425.03,7963.52,627181.26,25361.44
Customer 120,customer120@email.com,Australia,1,47.0,85115.12,12343.58,104702.32,19830.47
Customer 121,customer121@email.com,India,0,38.0,42107.85,9898.79,723759.58,28864.46
Customer 122,customer122@email.com,Canada,1,37.0,56262.57,7899.89,379234.74,20872.09
Customer 123,customer123@email.com,Germany,0,53.0,51205.38,11271.07,536698.25,26073.3
Customer 124,customer124@email.com,South Africa,0,50.0,88939.56,13560.83,903055.16,34736.17
Customer 125,customer125@email.com,Canada,1,50.0,63931.1,10231.24,724209.83,28543.97
Customer 126,customer126@email.com,South Africa,1,56.0,80636.89,8041.41,432867.34,24746.51
Customer 127,customer127@email.com,Kenya,0,40.0,30288.79,2752.66,277201.94,17076.85
Customer 128,customer128@email.com,Kenya,1,48.0,65341.01,3739.55,10000.0,16544.02
Customer 129,customer129@email.com,France,1,36.0,77792.62,6779.1,320211.67,22343.46
Customer 130,customer130@email.com,United Kingdom,1,44.0,61645.68,5561.95,447217.44,21160.1
Customer 131,customer131@email.com,United States,0,38.0,81309.61,7252.11,253205.12,19634.87
Customer 132,customer132@email.com,United States,0,41.0,49654.23,8226.6,467185.76,23087.69
Customer 133,customer133@email.com,South Africa,0,47.0,88186.95,10118.77,519212.97,29537.23
Customer 134,customer134@email.com,France,0,30.0,105977.96,7718.0,443786.0,31373.93
Customer 135,customer135@email.com,United States,0,65.0,52743.23,9946.01,337499.35,19690.35
Customer 136,customer136@email.com,Germany,0,28.0,51089.95,8257.9,542163.67,23264.19
Customer 137,customer137@email.com,United States,0,25.0,89067.69,98.13,610485.16,32566.27
Customer 138,customer138@email.com,Nigeria,0,54.0,91591.44,4242.66,227400.23,17787.35
Customer 139,customer139@email.com,India,0,49.0,49542.8,7423.65,852733.09,26782.42
Customer 140,customer140@email.com,France,1,47.0,51596.26,3161.22,475352.97,23616.99
Customer 141,customer141@email.com,Germany,0,48.0,54364.31,10399.71,504712.41,24156.23
Customer 142,customer142@email.com,Canada,1,40.0,33110.99,14123.0,677053.61,22213.52
Customer 143,customer143@email.com,Germany,1,29.0,41626.96,12875.05,558304.03,21707.82
Customer 144,customer144@email.com,United Kingdom,1,41.0,39917.18,7146.23,738284.16,21285.02
Customer 145,customer145@email.com,Canada,0,32.0,44644.05,13962.9,571781.04,22064.85
Customer 146,customer146@email.com,Australia,0,52.0,59306.3,8594.67,346890.66,21245.44
